X,Y,cellid,lat,lon,PosXcd_142,PosYcd_142
-850294.262843696,-1010237.35323499,UKVPAN101,50.237268000000000,12.865829000000000,-850294,-1010237
-853602.313972017,-994819.894788662,BKVPER1,50.369470000000000,12.785888000000000,-853602,-994820
-852109.629447203,-1013680.11715534,BKVDHO3,50.204135000000001,12.848283000000000,-852110,-1013680
-857618.898768264,-999905.301183768,BKVNEJ1,50.318607999999998,12.741479000000000,-857619,-999905
-843154.064417261,-1003562.95391094,DKVOST1,50.306578000000002,12.950119000000001,-843154,-1003563
-849286.225807192,-1009420.61767696,BKVBOH4,50.245941999999999,12.877990000000000,-849286,-1009421
-845250.528980235,-995949.882998586,VKVYNM102,50.371243000000000,12.904330000000000,-845251,-995950
-850875.87664685,-1011138.65823628,BKVKRY4,50.228444000000003,12.859761000000001,-850876,-1011139
-843502.162686548,-1004389.69161818,BKVOKO4,50.298748000000003,12.947101000000000,-843502,-1004390
-858988.871420918,-1008222.77823654,BSOCHD4,50.242820000000002,12.741009999999999,-858989,-1008223
-858779.712241709,-998976.075248578,DKVNJD2,50.325200000000002,12.723312999999999,-858780,-998976
